instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.1784,3,0.64296,0,48,48,12,1,stimuli/objects/musicsheet.jpg,right,new,173,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,5.596965,2,2.204235,0,49,49,10,1,stimuli/objects/spicerack.jpg,left,old,171,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.306625,2,0.463235,0,50,50,40,1,stimuli/objects/beehive.jpg,right,new,201,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.98604,2,1.07367,0,51,51,45,1,stimuli/objects/siamesecat.jpg,right,new,206,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,4.2738,1,1.17139,0,52,52,132,1,stimuli/objects/windshieldwiper02.jpg,left,old,293,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.075705,2,4.24371,0,53,53,58,1,stimuli/objects/tricycle.jpg,left,old,219,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.86565,3,4.163225,0,54,54,88,1,stimuli/objects/toilet.jpg,right,new,249,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.91648,3,0.318785,0,55,55,100,1,stimuli/objects/doubledoors.jpg,left,old,261,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.40988,3,0.428085,0,56,56,137,1,stimuli/objects/waterfall.jpg,right,new,298,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.08364,2,0.485575,0,57,57,4,1,stimuli/objects/blender.jpg,left,old,165,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.95163,2,0.844195,0,58,58,84,1,stimuli/objects/carbattery.jpg,right,new,245,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,3.90579,2,5.610845,0,59,59,44,1,stimuli/objects/donut.jpg,left,old,205,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.966635,2,2.974755,0,60,60,158,1,stimuli/objects/bowrake.jpg,right,new,319,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.48363,2,0.641045,0,61,61,127,1,stimuli/objects/shelf.jpg,right,new,288,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.74025,3,0.502585,0,62,62,144,1,stimuli/objects/walkietalkie.jpg,right,new,305,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.868465,3,0.47768,0,63,63,106,1,stimuli/objects/squirrel.jpg,right,new,267,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.460425,4,3.34956,0,64,64,36,1,stimuli/objects/sandcastle.jpg,left,old,197,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.246235,2,3.766095,0,65,65,47,1,stimuli/objects/candycane01a.jpg,left,old,208,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.12889,2,0.374655,0,66,66,15,1,stimuli/objects/stool01.jpg,left,old,176,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.785635,2,1.92052,0,67,67,139,1,stimuli/objects/locomotive.jpg,left,old,300,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.78596,3,0.77524,0,68,68,28,1,stimuli/objects/car.jpg,left,old,189,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.073205,3,0.443275,0,69,69,135,1,stimuli/objects/penguin.jpg,right,new,296,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.555995,3,0.534635,0,70,70,59,1,stimuli/objects/nosmokingsign.jpg,right,new,220,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.88899,3,0.383845,0,71,71,14,1,stimuli/objects/ipad02.jpg,left,old,175,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.8118,3,0.491655,0,72,72,86,1,stimuli/objects/trafficlight.jpg,left,old,247,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.3407,2,0.34972,0,73,73,96,1,stimuli/objects/hockeystick.jpg,left,old,257,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.690235,2,0.791725,0,74,74,1,1,stimuli/objects/tent.jpg,left,old,162,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.70444,2,0.472635,0,75,75,131,1,stimuli/objects/boxingglove01.jpg,right,new,292,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.19582,2,0.56326,0,76,76,126,1,stimuli/objects/birdfeeder.jpg,left,old,287,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.335945,2,3.06686,0,77,77,82,1,stimuli/objects/duck01.jpg,left,old,243,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.91407,4,0.55964,0,78,78,69,1,stimuli/objects/bumpercar.jpg,right,new,230,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.88442,4,0.620165,0,79,79,109,1,stimuli/objects/spiderweb.jpg,right,new,270,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.099625,1,0.789805,0,80,80,108,1,stimuli/objects/cork02.jpg,left,old,269,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.91658,2,3.53776,0,81,81,25,1,stimuli/objects/scooter.jpg,right,new,186,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.99058,4,1.37526,0,82,82,6,1,stimuli/objects/popcorn.jpg,right,new,167,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.69779,2,1.174995,0,83,83,34,1,stimuli/objects/shelves.jpg,left,old,195,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.07613,1,0.680105,0,84,84,90,1,stimuli/objects/battleaxe.jpg,left,old,251,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.924655,4,0.43689,0,85,85,61,1,stimuli/objects/parrot01.jpg,right,new,222,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.389875,3,0.370655,0,86,86,17,1,stimuli/objects/saltshaker03a.jpg,right,new,178,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.78126,4,0.60823,0,87,87,151,1,stimuli/objects/jellyfish.jpg,left,old,312,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.30435,3,0.690855,0,88,88,78,1,stimuli/objects/hockeypuck.jpg,left,old,239,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.76633,3,0.55466,0,89,89,48,1,stimuli/objects/rubikcube.jpg,right,new,209,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.895065,2,0.851035,0,90,90,74,1,stimuli/objects/turnstile.jpg,right,new,235,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.78918,3,0.354875,0,91,91,53,1,stimuli/objects/parachute.jpg,right,new,214,,,,,,,,
