myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,trialN,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,pract_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,trial_type,rep_resp_2.keys,rep_resp_2.rt,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,repeat_task.ran,task_resp_2.keys,task_resp_2.corr,task_resp_2.rt,cont_check.thisRepN,cont_check.thisTrialN,cont_check.thisN,cont_check.thisIndex,cont_check.ran,butterfly,finalmess_resp_3.keys,finalmess_resp_3.rt
1,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,1,1,0,17,17,17,1,18,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/brown_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,left,stimuli/objects/butterfly4.jpg,1,0,stimuli/yellow_butterfly.png,1.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,1,1,0,18,18,18,1,19,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/acqua_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/grey_flower.png,up,stimuli/objects/laundrybasket01a.jpg,1,0,stimuli/yellow_butterfly.png,1.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,0,0,0,19,19,19,1,20,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/brown_flower.png,right,stimuli/objects/rollercoaster.jpg,1,0,stimuli/yellow_butterfly.png,2.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,20,20,20,1,21,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/acqua_flower.png,stimuli/white_flower.png,down,stimuli/objects/beret01.jpg,1,0,stimuli/red_butterfly.png,1.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,1,1,0,21,21,21,1,22,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/acqua_flower.png,stimuli/white_flower.png,up,stimuli/objects/bucket02.jpg,1,0,stimuli/yellow_butterfly.png,1.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,0,0,22,22,22,1,23,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/acqua_flower.png,right,stimuli/objects/eyechart.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,23,23,23,1,24,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/acqua_flower.png,left,stimuli/objects/chocolatechip.jpg,1,0,stimuli/yellow_butterfly.png,1.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,0,0,24,24,24,1,25,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/brown_flower.png,left,stimuli/objects/bulldozer.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,0,0,0,25,25,25,1,26,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/brown_flower.png,down,stimuli/objects/dresser02.jpg,1,0,stimuli/red_butterfly.png,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,26,26,26,1,27,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/grey_flower.png,stimuli/acqua_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,up,stimuli/objects/chimpanzee.jpg,1,0,stimuli/red_butterfly.png,1.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
