"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile"
"2","white_butterfly","3","blue_flower","blue_flower","1","0.870967741935484","1.05154","46","2","31","1","2","1","chime.jpg"
"2","white_butterfly","2","blue_flower","blue_flower","1","0.875","0.874645","47","2","32","1","2","1","contactlens.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.878787878787879","1.315535","48","2","33","1","2","1","snowglobe.jpg"
"2","grey_butterfly","5","red_flower","red_flower","1","0.882352941176471","0.584235","49","2","34","1","2","1","beerbottle.jpg"
"2","grey_butterfly","4","red_flower","red_flower","1","0.885714285714286","1.285815","50","2","35","1","2","1","salmon.jpg"
"2","white_butterfly","5","blue_flower","blue_flower","1","0.888888888888889","1.362765","51","2","36","1","2","1","microwave.jpg"
"2","white_butterfly","5","blue_flower","green_flower","0","0.864864864864865","0.62419","52","3","1","0","0","1","whiteout.jpg"
"2","white_butterfly","3","red_flower","green_flower","0","0.842105263157895","1.803355","53","3","2","0","0","1","dromedary.jpg"
"2","grey_butterfly","4","red_flower","yellow_flower","0","0.82051282051282","1.698595","54","3","3","0","0","1","cruiseship.jpg"
"2","white_butterfly","5","red_flower","green_flower","0","0.8","1.9447","55","3","4","0","0","1","rollerblade.jpg"
"2","grey_butterfly","5","red_flower","yellow_flower","0","0.780487804878049","0.658165","56","3","5","0","0","1","windshieldwiper02.jpg"
"2","white_butterfly","3","blue_flower","green_flower","0","0.761904761904762","0.46175","57","3","6","0","0","1","candycane01a.jpg"
"2","white_butterfly","4","red_flower","green_flower","0","0.744186046511628","0.790395","58","3","7","0","0","1","canoepaddle02.jpg"
"2","grey_butterfly","2","red_flower","yellow_flower","0","0.727272727272727","1.33789","59","3","8","0","0","1","hotdog.jpg"
"2","white_butterfly","3","green_flower","green_flower","1","0.733333333333333","1.0858","60","3","9","0","0","1","cactus.jpg"
"2","grey_butterfly","4","green_flower","yellow_flower","0","0.717391304347826","1.10519","61","3","10","0","0","1","bookshelf.jpg"
"2","white_butterfly","2","green_flower","green_flower","1","0.723404255319149","0.651745","62","3","11","0","0","1","bathtub.jpg"
"2","grey_butterfly","3","yellow_flower","yellow_flower","1","0.729166666666667","0.67933","63","3","12","0","0","1","spicerack.jpg"
"2","grey_butterfly","3","yellow_flower","yellow_flower","1","0.73469387755102","0.601925","64","3","13","0","1","1","stepladder.jpg"
"2","grey_butterfly","4","yellow_flower","yellow_flower","1","0.74","0.51113","65","3","14","0","1","1","snowshovel.jpg"
"2","white_butterfly","3","green_flower","green_flower","1","0.745098039215686","1.296935","66","3","15","0","1","1","seaturtle.jpg"
"2","white_butterfly","3","green_flower","green_flower","1","0.75","0.50778","67","3","16","0","1","1","winniethepooh.jpg"
"2","white_butterfly","3","green_flower","green_flower","1","0.754716981132076","0.71595","68","3","17","0","1","1","witchhat.jpg"
"2","grey_butterfly","3","yellow_flower","yellow_flower","1","0.759259259259259","1.492595","69","3","18","0","1","1","granolabar01.jpg"
"2","white_butterfly","5","green_flower","green_flower","1","0.763636363636364","0.829085","70","3","19","1","1","1","shovel01.jpg"
"2","white_butterfly","2","green_flower","green_flower","1","0.767857142857143","0.564905","71","3","20","1","1","1","fluorescentlightbulb.jpg"
"2","grey_butterfly","4","green_flower","yellow_flower","0","0.754385964912281","1.48681","72","3","21","1","1","1","urinal.jpg"
"2","grey_butterfly","2","yellow_flower","yellow_flower","1","0.758620689655172","0.927935","73","3","22","1","1","1","frisbee.jpg"
