"SubNum","butterfly","response","accuracy","cumAcc","RT","trialNum","listN","trialtfromchange"
"9","white_butterfly","4","1",0.88,0.431205,25,1,25
"9","white_butterfly","2","1",0.884615384615385,1.309465,26,1,26
"9","grey_butterfly","2","0",0.851851851851852,0.680785,27,1,27
"9","white_butterfly","2","1",0.857142857142857,0.65962,28,1,28
"9","grey_butterfly","3","1",0.862068965517241,1.540625,29,1,29
"9","white_butterfly","3","1",0.866666666666667,0.812455,30,1,30
"9","white_butterfly","2","0",0.838709677419355,1.605995,31,1,31
"9","grey_butterfly","4","0",0.8125,0.58155,32,1,32
"9","white_butterfly","2","1",0.818181818181818,0.68298,33,1,33
"9","white_butterfly","3","0",0.794117647058823,2.248645,34,1,34
"9","grey_butterfly","5","1",0.8,0.85005,35,1,35
"9","grey_butterfly","3","1",0.805555555555556,0.88544,36,1,36
"9","white_butterfly","4","1",0.810810810810811,0.49262,37,1,37
"9","grey_butterfly","3","0",0.789473684210526,0.91589,38,1,38
"9","white_butterfly","3","0",0.769230769230769,0.62204,39,1,39
"9","white_butterfly","5","1",0.775,0.55926,40,1,40
"9","grey_butterfly","4","1",0.780487804878049,1.37289,41,1,41
"9","white_butterfly","3","1",0.785714285714286,0.44823,42,1,42
"10","grey_butterfly","2","1",1,0.95,1,1,1
"10","grey_butterfly","3","1",1,0.685,2,1,2
"10","grey_butterfly","3","1",1,0.669,3,1,3
"10","white_butterfly","3","0",0.75,1.071,4,1,4
"10","grey_butterfly","4","1",0.8,0.672,5,1,5
"10","white_butterfly","2","1",0.833333333333333,1.278,6,1,6
"10","grey_butterfly","3","1",0.857142857142857,1.088,7,1,7
"10","grey_butterfly","4","1",0.875,0.766,8,1,8
"10","grey_butterfly","4","1",0.888888888888889,0.755,9,1,9
"10","grey_butterfly","5","1",0.9,0.82,10,1,10
"10","white_butterfly","5","1",0.909090909090909,0.722,11,1,11
"10","white_butterfly","2","1",0.916666666666667,1.43,12,1,12
"10","white_butterfly","4","1",0.923076923076923,0.949,13,1,13
"10","white_butterfly","3","1",0.928571428571429,0.905,14,1,14
"10","grey_butterfly","2","1",0.933333333333333,0.9,15,1,15
"10","grey_butterfly","5","1",0.9375,0.676,16,1,16
"10","grey_butterfly","3","1",0.941176470588235,0.85,17,1,17
"10","white_butterfly","2","1",0.944444444444444,1.283,18,1,18
"10","white_butterfly","5","1",0.947368421052632,0.784,19,1,19
"10","white_butterfly","5","1",0.95,1.12,20,1,20
"10","white_butterfly","4","1",0.952380952380952,1.253,21,1,21
"10","grey_butterfly","5","1",0.954545454545455,0.748,22,1,22
"10","grey_butterfly","5","1",0.956521739130435,0.818,23,1,23
"10","grey_butterfly","2","0",0.916666666666667,0.704,24,1,24
"10","white_butterfly","4","1",0.92,0.706,25,1,25
"10","white_butterfly","2","1",0.923076923076923,0.665,26,1,26
"10","grey_butterfly","4","1",0.925925925925926,0.925,27,1,27
"10","white_butterfly","2","1",0.928571428571429,1.698,28,1,28
"10","grey_butterfly","3","1",0.931034482758621,0.7,29,1,29
"10","white_butterfly","3","1",0.933333333333333,0.916,30,1,30
"10","white_butterfly","2","0",0.903225806451613,0.677,31,1,31
