"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile","FlowNum","Q1","Q2","Q3","Q4","Qup1","Qup2","Qup3","Qup4","N1","N2","N3","N4","Delta1","Delta2","Delta3","Delta4","Prob","uncertainty","CPP","CPnot","lr"
4,1,4,"red_flower",3,1,0.850877192982456,0.40196,129,5,6,0,0,1,"fingerprint.jpg",3,0.00926937724609218,0.0531556382555123,0.593677972887648,0.343897011610747,0.00823649259665473,0.0472325172811971,0.638954346196285,0.305576643925863,27.7977379446881,19.6100406490727,7.80730900501291,19.7163632527108,-0.00926937724609218,-0.0531556382555123,0.406322027112352,-0.343897011610747,0.718081368342402,0.921959651993024,0.00884793721727961,0.99115206278272,0.1124245030207
4,1,2,"red_flower",3,1,0.852173913043478,0.48837,130,5,7,0,0,1,"dreamcatcher.jpg",3,0.00823649259665473,0.0472325172811971,0.638954346196285,0.305576643925863,0.00741017398671862,0.0424939580503622,0.675175922221951,0.274919945740969,27.7977379446881,19.6100406490727,8.79923104523301,19.7163632527108,-0.00823649259665473,-0.0472325172811971,0.361045653803715,-0.305576643925863,0.787138682297195,0.913713705234165,0.00807795977989412,0.991922040220106,0.101141101979462
4,2,4,"red_flower",2,0,0.844827586206897,0.44956,131,5,8,0,0,1,"christmaslights.jpg",3,0.845600619163005,0.00070046270487896,0.0231537817195524,0.130545136412564,0.636923122160013,0.247307810752239,0.0174398866420247,0.0983291804457239,19.7100880445958,2.9935395480395,26.8043092506318,19.5514680826769,-0.845600619163005,0.999299537295121,-0.0231537817195524,-0.130545136412564,0.0141799218382019,0.929712209264641,0.00646045196050282,0.993539548039497,0.248384887009874
4,2,5,"red_flower",2,0,0.837606837606838,0.519305,132,5,9,0,0,1,"porcupine.jpg",3,0.636923122160013,0.247307810752239,0.0174398866420247,0.0983291804457239,0.511049699146726,0.396060366656745,0.0139932882187321,0.0788966459777966,19.7100880445958,3.98694779379698,26.8043092506318,19.5514680826769,-0.636923122160013,0.752692189247761,-0.0174398866420247,-0.0983291804457239,0.0339443278551754,0.945043781896446,0.00659175424251723,0.993408245757483,0.198938695929124
4,2,5,"green_flower",2,1,0.838983050847458,0.433585,133,5,10,0,0,1,"volleyball.jpg",2,0.511049699146726,0.396060366656745,0.0139932882187321,0.0788966459777966,0.429023725386105,0.492995628726805,0.0117472970868109,0.0662333488002793,19.7100880445958,4.96722039558666,26.8043092506318,19.5514680826769,-0.511049699146726,0.603939633343255,-0.0139932882187321,-0.0788966459777966,0.318531550000964,0.942912641992899,0.0197273982103248,0.980272601789675,0.163734950688116
4,2,2,"green_flower",2,1,0.840336134453782,0.553145,134,5,11,0,0,1,"cookingpot.jpg",2,0.429023725386105,0.492995628726805,0.0117472970868109,0.0662333488002793,0.368934138304783,0.56400728033375,0.0101019563061051,0.0569566250553624,19.7100880445958,5.95506522140602,26.8043092506318,19.5514680826769,-0.429023725386105,0.507004371273195,-0.0117472970868109,-0.0662333488002793,0.520958279407844,0.935289584140222,0.0121551741806368,0.987844825819363,0.141784638597784
4,1,2,"red_flower",3,1,0.841666666666667,0.623535,135,5,12,0,0,1,"ironingboard01.jpg",3,0.00741017398671862,0.0424939580503622,0.675175922221951,0.274919945740969,0.00673444839564903,0.0386189808943693,0.704796271534073,0.249850299175909,27.7977379446881,19.6100406490727,9.79158681081549,19.7163632527108,-0.00741017398671862,-0.0424939580503622,0.324824077778049,-0.274919945740969,0.832163766851316,0.906152849931744,0.00764423441752249,0.992355765582478,0.0918913357280676
4,2,4,"green_flower",2,1,0.84297520661157,0.52065,136,5,13,0,1,1,"filingcabinet.jpg",2,0.368934138304783,0.56400728033375,0.0101019563061051,0.0569566250553624,0.323437718915792,0.617773266088355,0.00885619780063403,0.0499328171952193,19.7100880445958,6.94552321183367,26.8043092506318,19.5514680826769,-0.368934138304783,0.43599271966625,-0.0101019563061051,-0.0569566250553624,0.665382866584795,0.92626112816891,0.00954200957234808,0.990457990427652,0.124506583272562
4,2,3,"green_flower",2,1,0.844262295081967,0.661175,137,5,14,0,1,1,"butterfly2.jpg",2,0.323437718915792,0.617773266088355,0.00885619780063403,0.0499328171952193,0.287886269390644,0.65978665427132,0.00788274711544682,0.0444443292225891,19.7100880445958,7.93712247901244,26.8043092506318,19.5514680826769,-0.323437718915792,0.382226733911645,-0.00885619780063403,-0.0499328171952193,0.756648936956331,0.91736544270581,0.00840073282123055,0.991599267178769,0.110848660687284
4,2,5,"green_flower",2,1,0.845528455284553,0.40465,138,5,15,0,1,1,"granolabar01.jpg",2,0.287886269390644,0.65978665427132,0.00788274711544682,0.0444443292225891,0.259366359960157,0.693490428431034,0.00710183028231049,0.0400413813264982,19.7100880445958,8.92931035621512,26.8043092506318,19.5514680826769,-0.287886269390644,0.34021334572868,-0.00788274711544682,-0.0444443292225891,0.814142181968289,0.909131232858408,0.00781212279732346,0.992187877202677,0.0998465983787774
